codice_istat;cap
001019;10070
001021;10070
001046;10070
001054;10070
001072;10070
001075;10070
001088;10070
001094;10070
001104;10070
001109;10070
001113;10070
001118;10070
001119;10070
001131;10070
001133;10070
001152;10070
001155;10070
001188;10070
001220;10070
001221;10070
001237;10070
001240;10070
001279;10070
001282;10070
001286;10070
001289;10070
001290;10070
001301;10070
001313;10070
001028;10071
001063;10072
001086;10073
001128;10074
001146;10075
001166;10076
001248;10077
001292;10078
001316;10079
001007;10080
001017;10080
001029;10080
001033;10080
001036;10080
001043;10080
001052;10080
001067;10080
001073;10080
001079;10080
001083;10080
001084;10080
001091;10080
001102;10080
001108;10080
001121;10080
001124;10080
001134;10080
001141;10080
001165;10080
001170;10080
001176;10080
001187;10080
001206;10080
001207;10080
001212;10080
001216;10080
001224;10080
001231;10080
001236;10080
001238;10080
001251;10080
001267;10080
001278;10080
001288;10080
001298;10080
001312;10080
001066;10081
001098;10082
001101;10083
001107;10084
001199;10085
001217;10086
001287;10087
001314;10088
001318;10089
001038;10090
001045;10090
001064;10090
001068;10090
001085;10090
001096;10090
001106;10090
001112;10090
001159;10090
001211;10090
001213;10090
001223;10090
001228;10090
001241;10090
001244;10090
001246;10090
001252;10090
001262;10090
001276;10090
001296;10090
001302;10090
001008;10091
001024;10092
001090;10093
001115;10094
001285;10094
001120;10095
001219;10098
001249;10099
001272;10121
001272;10122
001272;10123
001272;10124
001272;10125
001272;10126
001272;10127
001272;10128
001272;10129
001272;10131
001272;10132
001272;10133
001272;10134
001272;10135
001272;10136
001272;10137
001272;10138
001272;10139
001272;10141
001272;10142
001272;10143
001272;10144
001272;10145
001272;10146
001272;10147
001272;10148
001272;10149
001272;10151
001272;10152
001272;10153
001272;10154
001272;10155
001272;10156
007001;11010
007006;11010
007008;11010
007010;11010
007024;11010
007030;11010
007035;11010
007046;11010
007047;11010
007053;11010
007055;11010
007056;11010
007057;11010
007061;11010
007063;11010
007064;11010
007066;11010
007068;11010
007069;11010
007070;11010
007005;11011
007021;11012
007022;11013
007026;11014
007062;11014
007040;11015
007041;11016
007044;11017
007074;11018
007002;11020
007004;11020
007007;11020
007009;11020
007011;11020
007013;11020
007014;11020
007016;11020
007017;11020
007018;11020
007019;11020
007023;11020
007025;11020
007027;11020
007028;11020
007029;11020
007031;11020
007032;11020
007034;11020
007036;11020
007037;11020
007038;11020
007039;11020
007042;11020
007043;11020
007045;11020
007048;11020
007049;11020
007050;11020
007054;11020
007058;11020
007060;11020
007067;11020
007072;11020
007012;11022
007015;11023
007059;11023
007020;11024
007051;11024
007033;11025
007052;11026
007065;11027
007071;11028
007073;11029
007003;11100
004002;12010
004006;12010
004022;12010
004064;12010
004084;12010
004093;12010
004123;12010
004167;12010
004182;12010
004183;12010
004191;12010
004204;12010
004233;12010
004235;12010
004243;12010
004248;12010
004025;12011
004028;12012
004068;12013
004079;12014
004110;12015
004163;12016
004185;12017
004192;12018
004239;12019
004017;12020
004033;12020
004038;12020
004044;12020
004047;12020
004053;12020
004060;12020
004083;12020
004092;12020
004103;12020
004112;12020
004119;12020
004122;12020
004139;12020
004172;12020
004187;12020
004197;12020
004205;12020
004224;12020
004225;12020
004234;12020
004237;12020
004244;12020
004247;12020
004250;12020
004001;12021
004034;12022
004040;12023
004075;12024
004082;12025
004138;12025
004166;12026
004173;12027
004174;12028
